"name","yearid","attendance","change_attendace","wswin","divwin","wcwin"
"Anaheim Angels",1997,1767330,NULL,"N","N","N"
"Anaheim Angels",1998,2519280,751950,"N","N","N"
"Anaheim Angels",1999,2253123,-266157,"N","N","N"
"Anaheim Angels",2000,2066982,-186141,"N","N","N"
"Anaheim Angels",2001,2000919,-66063,"N","N","N"
"Anaheim Angels",2002,2305547,304628,"Y","N","Y"
"Anaheim Angels",2003,3061094,755547,"N","N","N"
"Anaheim Angels",2004,3375677,314583,"N","Y","N"
"Arizona Diamondbacks",1998,3610290,234613,"N","N","N"
"Arizona Diamondbacks",1999,3019654,-590636,"N","Y","N"
"Arizona Diamondbacks",2000,2942251,-77403,"N","N","N"
"Arizona Diamondbacks",2001,2736451,-205800,"Y","Y","N"
"Arizona Diamondbacks",2002,3198977,462526,"N","Y","N"
"Arizona Diamondbacks",2003,2805542,-393435,"N","N","N"
"Arizona Diamondbacks",2004,2519560,-285982,"N","N","N"
"Arizona Diamondbacks",2005,2059424,-460136,"N","N","N"
"Arizona Diamondbacks",2006,2091685,32261,"N","N","N"
"Arizona Diamondbacks",2007,2325249,233564,"N","Y","N"
"Arizona Diamondbacks",2008,2509924,184675,"N","N","N"
"Arizona Diamondbacks",2009,2128765,-381159,"N","N","N"
"Arizona Diamondbacks",2010,2056941,-71824,"N","N","N"
"Arizona Diamondbacks",2011,2105432,48491,"N","Y","N"
"Arizona Diamondbacks",2012,2177617,72185,"N","N","N"
"Arizona Diamondbacks",2013,2134795,-42822,"N","N","N"
"Arizona Diamondbacks",2014,2073730,-61065,"N","N","N"
"Arizona Diamondbacks",2015,2080145,6415,"N","N","N"
"Arizona Diamondbacks",2016,2036216,-43929,"N","N","N"
"Atlanta Braves",1969,1458320,-577896,"N","Y",NULL
"Atlanta Braves",1970,1078848,-379472,"N","N",NULL
"Atlanta Braves",1971,1006320,-72528,"N","N",NULL
"Atlanta Braves",1972,752973,-253347,"N","N",NULL
"Atlanta Braves",1973,800655,47682,"N","N",NULL
"Atlanta Braves",1974,981085,180430,"N","N",NULL
"Atlanta Braves",1975,534672,-446413,"N","N",NULL
"Atlanta Braves",1976,818179,283507,"N","N",NULL
"Atlanta Braves",1977,872464,54285,"N","N",NULL
"Atlanta Braves",1978,904494,32030,"N","N",NULL
"Atlanta Braves",1979,769465,-135029,"N","N",NULL
"Atlanta Braves",1980,1048411,278946,"N","N",NULL
"Atlanta Braves",1981,535418,-512993,"N","N",NULL
"Atlanta Braves",1982,1801985,1266567,"N","Y",NULL
"Atlanta Braves",1983,2119935,317950,"N","N",NULL
"Atlanta Braves",1984,1724892,-395043,"N","N",NULL
"Atlanta Braves",1985,1350137,-374755,"N","N",NULL
"Atlanta Braves",1986,1387181,37044,"N","N",NULL
"Atlanta Braves",1987,1217402,-169779,"N","N",NULL
"Atlanta Braves",1988,848089,-369313,"N","N",NULL
"Atlanta Braves",1989,984930,136841,"N","N",NULL
"Atlanta Braves",1990,980129,-4801,"N","N",NULL
"Atlanta Braves",1991,2140217,1160088,"N","Y",NULL
"Atlanta Braves",1992,3077400,937183,"N","Y",NULL
"Atlanta Braves",1993,3884720,807320,"N","Y",NULL
"Atlanta Braves",1995,2561831,-1322889,"Y","Y","N"
"Atlanta Braves",1996,2901242,339411,"N","Y","N"
"Atlanta Braves",1997,3464488,563246,"N","Y","N"
"Atlanta Braves",1998,3360860,-103628,"N","Y","N"
"Atlanta Braves",1999,3284897,-75963,"N","Y","N"
"Atlanta Braves",2000,3234304,-50593,"N","Y","N"
"Atlanta Braves",2001,2823530,-410774,"N","Y","N"
"Atlanta Braves",2002,2603484,-220046,"N","Y","N"
"Atlanta Braves",2003,2401084,-202400,"N","Y","N"
"Atlanta Braves",2004,2327565,-73519,"N","Y","N"
"Atlanta Braves",2005,2521167,193602,"N","Y","N"
"Atlanta Braves",2006,2550524,29357,"N","N","N"
"Atlanta Braves",2007,2745207,194683,"N","N","N"
"Atlanta Braves",2008,2532834,-212373,"N","N","N"
"Atlanta Braves",2009,2373631,-159203,"N","N","N"
"Atlanta Braves",2010,2510119,136488,"N","N","Y"
"Atlanta Braves",2011,2372940,-137179,"N","N","N"
"Atlanta Braves",2012,2420171,47231,"N","N","Y"
"Atlanta Braves",2013,2548679,128508,"N","Y","N"
"Atlanta Braves",2014,2354305,-194374,"N","N","N"
"Atlanta Braves",2015,2001392,-352913,"N","N","N"
"Atlanta Braves",2016,2020914,19522,"N","N","N"
"Baltimore Orioles",1969,1062069,-958845,"N","Y",NULL
"Baltimore Orioles",1970,1057069,-5000,"Y","Y",NULL
"Baltimore Orioles",1971,1023037,-34032,"N","Y",NULL
"Baltimore Orioles",1972,899950,-123087,"N","N",NULL
"Baltimore Orioles",1973,958667,58717,"N","Y",NULL
"Baltimore Orioles",1974,962572,3905,"N","Y",NULL
"Baltimore Orioles",1975,1002157,39585,"N","N",NULL
"Baltimore Orioles",1976,1058609,56452,"N","N",NULL
"Baltimore Orioles",1977,1195769,137160,"N","N",NULL
"Baltimore Orioles",1978,1051724,-144045,"N","N",NULL
"Baltimore Orioles",1979,1681009,629285,"N","Y",NULL
"Baltimore Orioles",1980,1797438,116429,"N","N",NULL
"Baltimore Orioles",1981,1024247,-773191,"N","N",NULL
"Baltimore Orioles",1982,1613031,588784,"N","N",NULL
"Baltimore Orioles",1983,2042071,429040,"Y","Y",NULL
"Baltimore Orioles",1984,2045784,3713,"N","N",NULL
"Baltimore Orioles",1985,2132387,86603,"N","N",NULL
"Baltimore Orioles",1986,1973176,-159211,"N","N",NULL
