"team","year","wins","salary"
"Anaheim Angels",2000,82,"51464167"
"Anaheim Angels",2001,75,"47535167"
"Anaheim Angels",2002,99,"61721667"
"Anaheim Angels",2003,77,"79031667"
"Anaheim Angels",2004,92,"100534667"
"Arizona Diamondbacks",2000,85,"81027833"
"Arizona Diamondbacks",2001,92,"85082999"
"Arizona Diamondbacks",2002,98,"102819999"
"Arizona Diamondbacks",2003,84,"80657000"
"Arizona Diamondbacks",2004,51,"69780750"
"Arizona Diamondbacks",2005,77,"62329166"
"Arizona Diamondbacks",2006,76,"59684226"
"Arizona Diamondbacks",2007,90,"52067546"
"Arizona Diamondbacks",2008,82,"66202712"
"Arizona Diamondbacks",2009,70,"73115666"
"Arizona Diamondbacks",2010,65,"60718166"
"Arizona Diamondbacks",2011,94,"53639833"
"Arizona Diamondbacks",2012,81,"73804833"
"Arizona Diamondbacks",2013,81,"90132000"
"Arizona Diamondbacks",2014,64,"97861500"
"Arizona Diamondbacks",2015,79,"61834000"
"Arizona Diamondbacks",2016,69,"87439063"
"Atlanta Braves",2000,95,"84537836"
"Atlanta Braves",2001,88,"91936166"
"Atlanta Braves",2002,101,"92870367"
"Atlanta Braves",2003,101,"106243667"
"Atlanta Braves",2004,96,"90182500"
"Atlanta Braves",2005,90,"86457302"
"Atlanta Braves",2006,79,"90156876"
"Atlanta Braves",2007,84,"87290833"
"Atlanta Braves",2008,72,"102365683"
"Atlanta Braves",2009,86,"96726166"
"Atlanta Braves",2010,91,"84423666"
"Atlanta Braves",2011,89,"87002692"
"Atlanta Braves",2012,94,"82829942"
"Atlanta Braves",2013,96,"87871525"
"Atlanta Braves",2014,79,"97609000"
"Atlanta Braves",2015,67,"71781250"
"Atlanta Braves",2016,68,"68498291"
"Baltimore Orioles",2000,74,"81447435"
"Baltimore Orioles",2001,63,"67599540"
"Baltimore Orioles",2002,67,"60493487"
"Baltimore Orioles",2003,71,"73877500"
"Baltimore Orioles",2004,78,"51623333"
"Baltimore Orioles",2005,74,"73914333"
"Baltimore Orioles",2006,70,"72585582"
"Baltimore Orioles",2007,69,"93174808"
"Baltimore Orioles",2008,68,"67196246"
"Baltimore Orioles",2009,64,"67101666"
"Baltimore Orioles",2010,66,"81612500"
"Baltimore Orioles",2011,69,"85304038"
"Baltimore Orioles",2012,93,"77353999"
"Baltimore Orioles",2013,85,"84393333"
"Baltimore Orioles",2014,96,"103416000"
"Baltimore Orioles",2015,81,"115044833"
"Baltimore Orioles",2016,89,"161863456"
"Boston Red Sox",2000,85,"77940333"
"Boston Red Sox",2001,82,"110035833"
"Boston Red Sox",2002,93,"108366060"
"Boston Red Sox",2003,95,"99946500"
"Boston Red Sox",2004,98,"127298500"
"Boston Red Sox",2005,95,"123505125"
"Boston Red Sox",2006,86,"120099824"
"Boston Red Sox",2007,96,"143026214"
"Boston Red Sox",2008,95,"133390035"
"Boston Red Sox",2009,95,"121345999"
"Boston Red Sox",2010,89,"162447333"
"Boston Red Sox",2011,90,"161762475"
"Boston Red Sox",2012,69,"173186617"
"Boston Red Sox",2013,97,"151530000"
"Boston Red Sox",2014,71,"139019929"
"Boston Red Sox",2015,78,"181103400"
"Boston Red Sox",2016,93,"188545761"
"Chicago Cubs",2000,65,"60539333"
"Chicago Cubs",2001,88,"64715833"
"Chicago Cubs",2002,67,"75690833"
"Chicago Cubs",2003,88,"79868333"
"Chicago Cubs",2004,89,"90560000"
"Chicago Cubs",2005,79,"87032933"
"Chicago Cubs",2006,66,"94424499"
"Chicago Cubs",2007,85,"99670332"
"Chicago Cubs",2008,97,"118345833"
"Chicago Cubs",2009,83,"134809000"
"Chicago Cubs",2010,75,"146609000"
"Chicago Cubs",2011,71,"125047329"
"Chicago Cubs",2012,61,"88197033"
"Chicago Cubs",2013,66,"100567726"
"Chicago Cubs",2014,73,"65522500"
"Chicago Cubs",2015,97,"115879310"
"Chicago Cubs",2016,103,"154067668"
"Chicago White Sox",2000,95,"31133500"
"Chicago White Sox",2001,83,"65653667"
"Chicago White Sox",2002,81,"57052833"
"Chicago White Sox",2003,86,"51010000"
"Chicago White Sox",2004,83,"65212500"
"Chicago White Sox",2005,99,"75178000"
"Chicago White Sox",2006,90,"102750667"
"Chicago White Sox",2007,72,"108671833"
"Chicago White Sox",2008,89,"121189332"
"Chicago White Sox",2009,79,"96068500"
"Chicago White Sox",2010,88,"105530000"
"Chicago White Sox",2011,79,"127789000"
"Chicago White Sox",2012,85,"96919500"
"Chicago White Sox",2013,63,"120065277"
"Chicago White Sox",2014,73,"81830500"
"Chicago White Sox",2015,76,"112373700"
"Chicago White Sox",2016,78,"112998667"
"Cincinnati Reds",2000,85,"46867200"
"Cincinnati Reds",2001,66,"48986000"
"Cincinnati Reds",2002,78,"45050390"
"Cincinnati Reds",2003,69,"59355667"
"Cincinnati Reds",2004,76,"46615250"
"Cincinnati Reds",2005,73,"61892583"
"Cincinnati Reds",2006,80,"60909519"
"Cincinnati Reds",2007,72,"68524980"
"Cincinnati Reds",2008,74,"74117695"
"Cincinnati Reds",2009,78,"73558500"
"Cincinnati Reds",2010,91,"71761542"
"Cincinnati Reds",2011,79,"75947134"
"Cincinnati Reds",2012,97,"82203616"
"Cincinnati Reds",2013,90,"106404462"
"Cincinnati Reds",2014,76,"108217500"
"Cincinnati Reds",2015,64,"113072286"
"Cincinnati Reds",2016,68,"88940059"
"Cleveland Indians",2000,90,"75880771"
"Cleveland Indians",2001,91,"93152001"
"Cleveland Indians",2002,74,"78909449"
"Cleveland Indians",2003,68,"48584834"
"Cleveland Indians",2004,80,"34319300"
"Cleveland Indians",2005,93,"41502500"
"Cleveland Indians",2006,78,"56031500"
"Cleveland Indians",2007,96,"61673267"
"Cleveland Indians",2008,81,"78970066"
"Cleveland Indians",2009,65,"81579166"
"Cleveland Indians",2010,69,"61203966"
"Cleveland Indians",2011,80,"48776566"
"Cleveland Indians",2012,68,"78430300"
"Cleveland Indians",2013,92,"75771800"
"Cleveland Indians",2014,85,"82151899"
"Cleveland Indians",2015,81,"87663766"
"Cleveland Indians",2016,94,"74311900"
"Colorado Rockies",2000,82,"61111190"
"Colorado Rockies",2001,73,"71541334"
"Colorado Rockies",2002,73,"56851043"
"Colorado Rockies",2003,74,"67179667"
"Colorado Rockies",2004,68,"65445167"
"Colorado Rockies",2005,67,"47839000"
"Colorado Rockies",2006,76,"41233000"
"Colorado Rockies",2007,90,"54041000"
"Colorado Rockies",2008,74,"68655500"
"Colorado Rockies",2009,92,"75201000"
"Colorado Rockies",2010,83,"84227000"
"Colorado Rockies",2011,73,"88148071"
"Colorado Rockies",2012,64,"78069571"
"Colorado Rockies",2013,74,"74409071"
"Colorado Rockies",2014,66,"95403500"
"Colorado Rockies",2015,68,"95688600"
"Colorado Rockies",2016,75,"112645071"
"Detroit Tigers",2000,79,"58265167"
"Detroit Tigers",2001,66,"53416167"
"Detroit Tigers",2002,55,"55048000"
"Detroit Tigers",2003,43,"49168000"
"Detroit Tigers",2004,72,"46832000"
"Detroit Tigers",2005,71,"69092000"
"Detroit Tigers",2006,95,"82612866"
"Detroit Tigers",2007,88,"94800369"
"Detroit Tigers",2008,74,"137685196"
"Detroit Tigers",2009,86,"115085145"
"Detroit Tigers",2010,81,"122864928"
"Detroit Tigers",2011,95,"105700231"
"Detroit Tigers",2012,88,"132300000"
"Detroit Tigers",2013,93,"145989500"
"Detroit Tigers",2014,90,"152855500"
"Detroit Tigers",2015,74,"172284750"
"Detroit Tigers",2016,86,"194876481"
"Florida Marlins",2000,79,"19872000"
"Florida Marlins",2001,76,"35762500"
"Florida Marlins",2002,79,"41979917"
"Florida Marlins",2003,91,"49450000"
"Florida Marlins",2004,83,"42143042"
"Florida Marlins",2005,83,"60408834"
"Florida Marlins",2006,78,"14671500"
"Florida Marlins",2007,71,"30507000"
"Florida Marlins",2008,84,"21811500"
"Florida Marlins",2009,87,"36834000"
"Florida Marlins",2010,80,"57029719"
"Florida Marlins",2011,72,"56944000"
"Houston Astros",2000,72,"51289111"
"Houston Astros",2001,93,"60612667"
"Houston Astros",2002,84,"63448417"
"Houston Astros",2003,87,"71040000"
"Houston Astros",2004,92,"75397000"
"Houston Astros",2005,89,"76779000"
"Houston Astros",2006,82,"88694435"
